Fase,Tipo,Valor,Data
30,Busca,28,24/07/2016
30,Prisao,2,24/07/2016
30,Conducao,9,24/07/2016
29,Busca,6,23/05/2016
29,Prisao,3,23/05/2016
29,Conducao,0,23/05/2016
28,Busca,15,12/04/2016
28,Prisao,3,12/04/2016
28,Conducao,5,12/04/2016
27,Busca,8,01/05/2016
27,Prisao,2,01/05/2016
27,Conducao,2,01/05/2016
26,Busca,67,22/03/2016
26,Prisao,15,22/03/2016
26,Conducao,28,22/03/2016
25,Busca,0,21/03/2016
25,Prisao,1,21/03/2016
25,Conducao,0,21/03/2016
24,Busca,33,04/03/2016
24,Prisao,0,04/03/2016
24,Conducao,11,04/03/2016
23,Busca,38,22/02/2016
23,Prisao,8,22/02/2016
23,Conducao,5,22/02/2016
22,Busca,15,27/01/2016
22,Prisao,6,27/01/2016
22,Conducao,6,27/01/2016
21,Busca,25,24/11/2015
21,Prisao,1,24/11/2015
21,Conducao,6,24/11/2015
20,Busca,11,16/11/2015
20,Prisao,2,16/11/2015
20,Conducao,5,16/11/2015
19,Busca,7,21/09/2015
19,Prisao,2,21/09/2015
19,Conducao,2,21/09/2015
18,Busca,10,13/08/2015
18,Prisao,1,13/08/2015
18,Conducao,0,13/08/2015
17,Busca,26,03/08/2015
17,Prisao,8,03/08/2015
17,Conducao,6,03/08/2015
16,Busca,23,28/07/2015
16,Prisao,2,28/07/2015
16,Conducao,5,28/07/2015
15,Busca,4,02/07/2015
15,Prisao,1,02/07/2015
15,Conducao,0,02/07/2015
14,Busca,38,19/06/2015
14,Prisao,12,19/06/2015
14,Conducao,9,19/06/2015
13,Busca,4,21/05/2015
13,Prisao,1,21/05/2015
13,Conducao,1,21/05/2015
12,Busca,1,15/04/2015
12,Prisao,2,15/04/2015
12,Conducao,1,15/04/2015
11,Busca,16,10/04/2015
11,Prisao,7,10/04/2015
11,Conducao,9,10/04/2015
10,Busca,0,16/03/2015
10,Prisao,4,16/03/2015
10,Conducao,0,16/03/2015
9,Busca,40,05/02/2015
9,Prisao,4,05/02/2015
9,Conducao,18,05/02/2015
8,Busca,0,14/01/2015
8,Prisao,1,14/01/2015
8,Conducao,0,14/01/2015
7,Busca,49,14/11/2014
7,Prisao,27,14/11/2014
7,Conducao,9,14/11/2014
6,Busca,11,22/08/2014
6,Prisao,0,22/08/2014
6,Conducao,1,22/08/2014
5,Busca,7,01/07/2014
5,Prisao,1,01/07/2014
5,Conducao,1,01/07/2014
4,Busca,1,11/06/2014
4,Prisao,1,11/06/2014
4,Conducao,0,11/06/2014
3,Busca,15,11/04/2014
3,Prisao,3,11/04/2014
3,Conducao,6,11/04/2014
2,Busca,6,20/03/2014
2,Prisao,1,20/03/2014
2,Conducao,0,20/03/2014
1,Busca,81,17/03/2014
1,Prisao,28,17/03/2014
1,Conducao,19,17/03/2014
0,Busca,0,01/03/2014
0,Prisao,0,01/03/2014
0,Conducao,0,01/03/2014
