tipo,valor,data,fase
busca,81,17/03/2014,1
prisao,28,17/03/2014,1
conducao,19,17/03/2014,1
busca,6,20/03/2014,2
prisao,1,20/03/2014,2
conducao,0,20/03/2014,2
busca,15,11/04/2014,3
prisao,3,11/04/2014,3
conducao,6,11/04/2014,3
busca,1,11/06/2014,4
prisao,1,11/06/2014,4
conducao,0,11/06/2014,4
busca,7,01/07/2014,5
prisao,1,01/07/2014,5
conducao,1,01/07/2014,5
busca,11,22/08/2014,6
prisao,0,22/08/2014,6
conducao,1,22/08/2014,6
busca,49,14/11/2014,7
prisao,27,14/11/2014,7
conducao,9,14/11/2014,7
busca,0,14/01/2015,8
prisao,1,14/01/2015,8
conducao,0,14/01/2015,8
busca,40,05/02/2015,9
prisao,4,05/02/2015,9
conducao,18,05/02/2015,9
busca,0,16/03/2015,10
prisao,4,16/03/2015,10
conducao,0,16/03/2015,10
busca,16,10/04/2015,11
prisao,7,10/04/2015,11
conducao,9,10/04/2015,11
busca,1,15/04/2015,12
prisao,2,15/04/2015,12
conducao,1,15/04/2015,12
busca,4,21/05/2015,13
prisao,1,21/05/2015,13
conducao,1,21/05/2015,13
busca,38,19/06/2015,14
prisao,12,19/06/2015,14
conducao,9,19/06/2015,14
busca,4,02/07/2015,15
prisao,1,02/07/2015,15
conducao,0,02/07/2015,15
busca,23,28/07/2015,16
prisao,2,28/07/2015,16
conducao,5,28/07/2015,16
busca,26,03/08/2015,17
prisao,8,03/08/2015,17
conducao,6,03/08/2015,17
busca,10,13/08/2015,18
prisao,1,13/08/2015,18
conducao,0,13/08/2015,18
busca,7,21/09/2015,19
prisao,2,21/09/2015,19
conducao,2,21/09/2015,19
busca,11,16/11/2015,20
prisao,2,16/11/2015,20
conducao,5,16/11/2015,20
busca,25,24/11/2015,21
prisao,1,24/11/2015,21
conducao,6,24/11/2015,21
busca,15,27/01/2016,22
prisao,6,27/01/2016,22
conducao,6,27/01/2016,22
busca,38,22/02/2016,23
prisao,8,22/02/2016,23
conducao,5,22/02/2016,23
busca,33,04/03/2016,24
prisao,0,04/03/2016,24
conducao,11,04/03/2016,24
busca,0,21/03/2016,25
prisao,1,21/03/2016,25
conducao,0,21/03/2016,25
busca,67,22/03/2016,26
prisao,15,22/03/2016,26
conducao,28,22/03/2016,26
busca,8,01/05/2016,27
prisao,2,01/05/2016,27
conducao,2,01/05/2016,27
busca,15,12/04/2016,28
prisao,3,12/04/2016,28
conducao,5,12/04/2016,28
busca,6,23/05/2016,29
prisao,3,23/05/2016,29
conducao,0,23/05/2016,29
busca,28,24/07/2016,30
prisao,2,24/07/2016,30
conducao,9,24/07/2016,30
