Partido,Resultado,Voto
PP,Em andamento,Sim
PP,Em andamento,Sim
PP,Em andamento,Não votou
PT,Condenado,Não votou
PMDB,Em andamento,Abstenção
PSDB,Outros,Não votou
PP,Em andamento,Sim
PP,Em andamento,Não votou
PP,Em andamento,Não votou
PT,Em andamento,Não votou
PP,Em andamento,Não votou
PT,Outros,Não votou
PP,Em andamento,Sim
PMDB,Em andamento,Não votou
PMDB,Em andamento,Sim
PP,Em andamento,Sim
PTB,Em andamento,Não votou
PT,Em andamento,Não votou
PP,Em andamento,Não votou
PT,Em andamento,Não votou
PT,Em andamento,Não votou
PP,Em andamento,Sim
PP,Em andamento,Não votou
PP,Em andamento,Não votou
PT,Condenado,Não votou
PP,Em andamento,Não votou
PT,Em andamento,Não
PP,Em andamento,Sim
PT,Condenado,Não votou
PP,Em andamento,Sim
PP,Em andamento,Não votou
PT,Em andamento,Não votou
PP,Em andamento,Não votou
SD,Condenado,Não votou
PP,Em andamento,Sim
PT,Em andamento,Não votou
PMDB,Em andamento,Não votou
PP,Em andamento,Não votou
PP,Em andamento,Sim
PP,Em andamento,Sim
PP,Condenado,Não votou
PP,Em andamento,Não votou
PMDB,Em andamento,Não votou
PP,Em andamento,Sim
PP,Em andamento,Sim
PP,Em andamento,Não votou
PMDB,Em andamento,Não votou
PMDB,Em andamento,Não votou
PP,Em andamento,Não votou
PP,Em andamento,Sim
PMDB,Em andamento,Não votou
PT,Em andamento,Não
PP,Em andamento,Não votou
PP,Em andamento,Não
