Partido,Resultado
PP,investigacao nao finalizada
PP,investigacao nao finalizada
PP,investigacao nao finalizada
PT,Condenado
PMDB,investigacao nao finalizada
PSDB,outro
PP,investigacao nao finalizada
PP,investigacao nao finalizada
PP,investigacao nao finalizada
PT,investigacao nao finalizada
PP,investigacao nao finalizada
PT,outro
PP,investigacao nao finalizada
PMDB,investigacao nao finalizada
PMDB,investigacao nao finalizada
PP,investigacao nao finalizada
PTB,investigacao nao finalizada
PT,investigacao nao finalizada
PP,investigacao nao finalizada
PT,investigacao nao finalizada
PT,investigacao nao finalizada
PP,investigacao nao finalizada
PP,investigacao nao finalizada
PP,investigacao nao finalizada
PT,Condenado
PP,investigacao nao finalizada
PT,investigacao nao finalizada
PP,investigacao nao finalizada
PT,Condenado
PP,investigacao nao finalizada
PP,investigacao nao finalizada
PT,investigacao nao finalizada
PP,investigacao nao finalizada
SD,Condenado
PP,investigacao nao finalizada
PT,investigacao nao finalizada
PMDB,investigacao nao finalizada
PP,investigacao nao finalizada
PP,investigacao nao finalizada
PP,investigacao nao finalizada
PP,Condenado
PP,investigacao nao finalizada
PMDB,investigacao nao finalizada
PP,investigacao nao finalizada
PP,investigacao nao finalizada
PP,investigacao nao finalizada
PMDB,investigacao nao finalizada
PMDB,investigacao nao finalizada
PP,investigacao nao finalizada
PP,investigacao nao finalizada
PMDB,investigacao nao finalizada
PT,investigacao nao finalizada
PP,investigacao nao finalizada
PP,investigacao nao finalizada
