Genero, Paramount, Sony, Fox, Universal, Warner Bros., Disney, Independent, DreamWorks Pictures, Weinstein Company, 
Action, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Adventure, 0, 0, 0, 1, 0, 0, 0, 0, 0, 
Animation, 0, 0, 0, 0, 0, 3, 0, 0, 0, 
Biography, 0, 0, 0, 2, 1, 0, 4, 0, 0, 
Comedy, 0, 0, 1, 0, 0, 0, 1, 0, 0, 
Documentary, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Drama, 7, 0, 1, 0, 0, 0, 3, 1, 3, 
Fantasy, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Horror, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Musical, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Romance, 0, 1, 0, 0, 0, 0, 0, 0, 0, 
Sci-Fi, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Thriller, 0, 0, 0, 0, 1, 0, 1, 0, 0, 
Western, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Biopic, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Crime, 0, 0, 0, 0, 0, 0, 3, 0, 0, 
Mystery, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
